,タイム,上り,人気,備考,単勝,厩舎ｺﾒﾝﾄ,性齢,斤量,枠番,着差,着順,調教師,調教ﾀｲﾑ,賞金(万円),通過,馬主,馬体重,馬名,馬番,騎手,ﾀｲﾑ指数,発走,場所,レース名,ラウンド数,コース,天候,地面,日付
4,,,,,---,,セ5,53,,,5,William ,,,,,計不,Channel Maker,3,カステリ,,0,11R,ペガサスWCT(G1),結果/払戻,芝左1900m ,雨 ,重 ,2019-01-26
5,,,1,,---,,牡5,56,,,6,,,,,,計不,ヨシダ,2,J.オルテ,,0,11R,ペガサスWCT(G1),結果/払戻,芝左1900m ,雨 ,重 ,2019-01-26
6,,,,,---,,セ6,56,,,7,Amy Doll,,,,,計不,Next Shares,5,ガファリ,,0,11R,ペガサスWCT(G1),結果/払戻,芝左1900m ,雨 ,重 ,2019-01-26
7,,,,,---,,セ4,56,,,8,Robert B,,,,,計不,Dubby Dubbie,10,Luca Pan,,0,11R,ペガサスWCT(G1),結果/払戻,芝左1900m ,雨 ,重 ,2019-01-26
8,,,5,,---,,牝5,50.5,,,9,菊沢隆徳,,,,,計不,アエロリット,4,ジェルー,,0,11R,ペガサスWCT(G1),結果/払戻,芝左1900m ,雨 ,重 ,2019-01-26
9,,,,,---,,牝5,54,,,10,Vladimir,,,,,計不,Fahan Mura,6,Edwin A ,,0,11R,ペガサスWCT(G1),結果/払戻,芝左1900m ,雨 ,重 ,2019-01-26
0,1:48.1,33.7,5,,10.4,,牝4,54,7,,1,[西]西浦勝一,,"5,602.2",1-1-1,大塚亮一,424(+8),クロコスミア,11,岩田康誠,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
1,1:48.1,33.2,1,,3.2,,牝4,56,1,クビ,2,[西]友道康夫,,"2,229.2",6-6-6,佐々木主浩,434(0),ヴィブロス,1,ルメール,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
2,1:48.3,32.9,2,,3.6,,牝4,56,5,1.1/4,3,[西]須貝尚介,,"1,414.6",10-12-13,近藤利一,428(+4),アドマイヤリード,7,戸崎圭太,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
3,1:48.4,33.3,3,,6.1,,牝5,56,3,3/4,4,[西]吉村圭司,,830.0,13-12-8,吉田千津,470(+4),クイーンズリング,4,Ｍ．デム,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
4,1:48.4,33.7,7,,14.5,,牝5,54,4,クビ,5,[西]角居勝彦,,550.0,3-3-3,島川隆哉,478(+10),トーセンビクトリー,5,福永祐一,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
5,1:48.6,33.5,9,,25.3,,牝4,54,6,1,6,[西]中村均,,,9-8-8,礒野日出夫,510(-2),キンショーユキヒメ,9,内田博幸,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
6,1:48.6,33.0,13,,160.9,,牝5,54,2,アタマ,7,[西]平田修,,,14-14-14,亀井哲也,470(+4),ハッピーユニバンス,2,津村明秀,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
7,1:48.6,33.5,8,,20.8,,牝4,54,3,クビ,8,[西]荒川義之,,,10-10-8,田中康弘,452(+10),デンコウアンジュ,3,蛯名正義,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
8,1:48.7,33.9,12,,65.3,,牝4,54,4,1/2,9,[東]高橋義博,,,3-5-5,サラブレッドクラブ・ラフィアン,478(+4),ゲッカコウ,6,柴田大知,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
9,1:48.7,33.6,4,,8.6,,牝4,54,7,クビ,10,[東]古賀慎明,,,8-8-8,サンデーレーシング,494(+16),ワンブレスアウェイ,12,田辺裕信,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
10,1:48.7,34.1,10,,45.1,,牝5,54,8,アタマ,11,[西]中尾秀正,,,2-2-2,神田紘爾,470(+6),アスカビレン,13,松田大作,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
11,1:48.8,33.9,6,,13.0,,牝5,54,6,クビ,12,[東]和田正道,,,5-6-6,クイーンズ・ランチ,462(+12),クインズミラーグロ,10,武豊,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
12,1:48.9,33.6,14,,182.5,,牝5,54,5,3/4,13,[東]鹿戸雄一,,,10-10-12,山田弘,464(-10),ロッカフラベイビー,8,三浦皇成,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
13,1:49.5,34.8,11,,55.5,,牝5,54,8,3.1/2,14,[東]尾関知人,,,6-3-3,サンデーレーシング,428(-12),バンゴール,14,柴山雄一,**,15,東京,第65回アイルランド府中牝馬(G2),11R,芝左1800m ,曇 ,稍重 ,2017-10-14
0,1:45.7,35.0,1,,2.5,,牝4,56,3,,1,[西]西浦勝一,,"1,532.9",1-1-1-1,大塚亮一,412(0),クロコスミア,4,岩田康誠,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
1,1:46.1,34.8,14,,110.7,,牡7,52,2,2.1/2,2,[東]青木孝文,,609.4,8-6-6-6,鶴見芳子,470(-10),ピュアソルジャー,2,横山和生,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
2,1:46.1,35.3,3,,5.9,,牡4,57.5,7,クビ,3,[西]中竹和也,,384.7,2-2-2-2,前田幸治,476(+2),ルグランフリソン,13,武豊,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
3,1:46.2,34.6,2,,5.4,,セ6,56,4,3/4,4,[東]藤沢和雄,,230.0,11-10-11-9,サンデーレーシング,482(-4),トレクァルティスタ,6,柴山雄一,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
4,1:46.6,35.3,7,,28.3,,牡4,56,7,2.1/2,5,[西]安田隆行,,150.0,6-6-6-5,Ｈ．Ｈ．シェイク・モハメド,470(0),ラヴアンドポップ,12,池添謙一,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
5,1:46.6,35.1,8,,33.7,,牡5,54,6,ハナ,6,[東]田村康仁,,,10-10-8-9,森保彦,484(0),タケルラムセス,11,勝浦正樹,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
6,1:46.7,35.0,15,,121.9,,牡5,53,5,1/2,7,[東]小桧山悟,,,12-12-12-11,西山茂行,482(+2),ニシノオタケビ,9,幸英明,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
7,1:46.7,35.7,12,,60.4,,牝5,51,2,アタマ,8,[東]畠山吉宏,,,3-3-3-3,ウイン,426(-6),ウインティアラ,3,井上敏樹,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
8,1:46.8,35.8,4,,6.6,,牡4,57,8,1/2,9,[西]音無秀孝,,,3-4-3-3,金子真人ホールディングス,524(-8),ノガロ,14,北村友一,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
9,1:46.8,35.0,11,,58.8,,牡9,53,1,ハナ,10,[西]西橋豊治,,,12-12-13-13,田邉康子,480(+2),ダブルイーグル,1,藤岡康太,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
10,1:46.8,35.3,5,,7.6,,牡6,55,6,アタマ,11,[東]高柳瑞樹,,,6-8-8-6,ラッキーフィールド,482(0),エアピザレー,10,吉田隼人,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
11,1:46.9,34.7,10,,52.9,,セ6,53,8,1/2,12,[東]二ノ宮敬,,,15-15-14-14,嶋田賢,474(-2),ギブアンドテイク,15,松岡正海,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
12,1:47.0,35.5,9,,34.7,,牡6,54,3,1/2,13,[西]岡田稲男,,,8-8-8-11,サンデーレーシング,524(+10),ランドオザリール,5,浜中俊,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
13,1:47.1,34.7,13,,109.9,,牡7,53,4,3/4,14,[東]中野栄治,,,14-14-15-15,山本三津子,472(0),エリモジパング,7,四位洋文,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
14,1:48.5,37.3,6,,16.9,,牝5,52,5,8,15,[東]国枝栄,,,3-4-5-6,広尾レース,500(+2),レトロクラシック,8,蛯名正義,**,16,函館,北斗特別 ,12R,芝右1800m ,晴 ,良 ,2017-06-18
0,2:29.45,,5,,9.2,, ,57,,,1,,,,,,計不,ホークビル,7,ビュイッ,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
1,,,6,,9.9,, ,57,,,2,,,,,,計不,ポエッツワード,5,デットー,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
2,,,1,,2.6,, ,57,,,3,,,,,,計不,クロスオブスターズ,6,バルザロ,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
3,,,2,,3.0,, ,56.5,,,4,,,,,,計不,レイデオロ,3,ルメール,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
4,,,9,,205.3,, ,56.5,,,5,,,,,,計不,ベストソリューション,10,コスグレ,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
5,,,4,,8.3,, ,54.5,,,6,,,,,,計不,モズカッチャン,1,Ｃ．デム,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
6,,,3,,6.4,, ,57,,,7,,,,,,計不,サトノクラウン,8,モレイラ,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
7,,,7,,22.3,, ,57,,,8,,,,,,計不,アイダホ,2,ムーア,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
8,,,8,,169.0,, ,57,,,9,,,,,,計不,デザートエンカウンター,9,レヴィ,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
9,,,10,,233.2,, ,56.5,,,10,,,,,,計不,カリーディ,4,デソウサ,,0,8R,ドバイシーマクラシッ(G1),結果/払戻,芝左2410m ,晴 ,良  ダート,2018-03-31
0,1:35.5,35.8,1,,2.2,,牝2,54,8,,1,[西]高橋亮,,500.0,9-7-5,ノースヒルズ,438(0),スカーレットカラー,11,太宰啓介,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
1,1:35.9,36.4,4,,5.2,,牡2,54,7,2.1/2,2,[西]清水久詞,,200.0,5-5-2,カナヤマホールディングス,472(+2),シャルルマーニュ,9,武豊,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
2,1:35.9,35.4,2,,4.2,,牡2,54,1,クビ,3,[西]松田国英,,130.0,11-11-9,谷水雄三,418(-8),タニノミステリー,1,Ｍ．デム,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
3,1:36.4,36.7,3,,4.7,,牡2,54,2,3,4,[西]大久保龍,,75.0,5-6-5,宇田豊,500(-6),オークヒルロッジ,2,和田竜二,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
4,1:36.7,37.1,7,,51.7,,牡2,51,4,2,5,[西]森秀行,,50.0,2-4-4,古賀和夫,450(+6),アイビリーブ,4,川又賢治,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
5,1:36.8,36.2,5,,25.7,,牡2,52,5,クビ,6,[西]飯田雄三,,,11-11-10,ウイン,458(0),ウインネプチューン,5,荻野極,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
6,1:37.5,37.1,9,,154.7,,牝2,54,6,4,7,[西]谷潔,,,7-9-7,森中蕃,438(-10),シゲルマツタケ,8,佐藤友則,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
7,1:37.8,37.5,11,,203.5,,牝2,54,5,1.3/4,8,[西]西橋豊治,,,7-8-7,松本好隆,436(-2),メイショウツバキ,6,鮫島良太,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
8,1:38.1,36.7,12,,285.4,,牡2,51,8,2,9,[西]木原一良,,,10-10-11,竹園正繼,464(+8),テイエムディラン,12,富田暁,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
9,1:38.2,39.1,10,,186.5,,牝2,54,6,クビ,10,[西]坂口正則,,,1-1-1,鈴木照雄,440(-6),アクアレーヌ,7,高倉稜,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
10,1:38.7,39.3,8,,139.5,,牝2,54,7,3,11,[西]森田直行,,,2-2-2,ビッグレッドファーム,412(+2),モスアゲート,10,津村明秀,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
11,,,6,,32.7,,牝2,51,3,,中,[西]中村均,,,2-2,サラブレッドクラブ・ラフィアン,412(+2),バルドーリア,3,三津谷隼,**,10,中京,2歳未勝利,1R,芝左1600m ,曇 ,良 ,2017-07-23
0,2:05.1,36.4,4,,7.8,,牡2,55,2,,1,[西]吉村圭司,,500.0,4-3-3-3,キャロットファーム,514(+6),ウィズワンアセント,3,シュタル,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
1,2:05.2,36.4,3,,5.3,,牡2,52,7,3/4,2,[西]須貝尚介,,200.0,6-5-5-5,東京ホースレーシング,458(-2),レッドクライム,13,坂井瑠星,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
2,2:05.3,36.3,7,,16.7,,牡2,55,5,クビ,3,[西]松下武士,,130.0,7-8-9-6,野嶋祥二,464(+2),ロキ,8,酒井学,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
3,2:05.4,36.8,1,,2.7,,牡2,55,7,1/2,4,[西]佐々木晶,,75.0,3-3-3-3,サンデーレーシング,488(-4),クリデュクール,12,川田将雅,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
4,2:05.4,36.5,2,,3.5,,牡2,55,5,アタマ,5,[西]音無秀孝,,50.0,9-8-7-6,社台レースホース,466(+10),スティッフェリオ,9,松若風馬,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
5,2:05.5,37.2,5,,10.4,,牡2,55,1,3/4,6,[西]藤沢則雄,,,1-1-1-1,永井啓弍,486(-4),スズカアカデミー,1,幸英明,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
6,2:05.7,36.4,6,,16.3,,牡2,55,8,1.1/4,7,[西]吉田直弘,,,12-10-10-9,吉田勝己,512(-8),フォースライン,14,北村友一,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
7,2:05.9,37.5,9,,52.1,,牡2,55,8,1.1/4,8,[西]藤岡健一,,,2-2-2-2,社台レースホース,480(-2),エジステンツァ,15,秋山真一,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
8,2:06.2,37.3,11,,93.5,,牡2,55,2,2,9,[西]森秀行,,,7-7-7-6,平井裕,424(-4),パイオニアゴールド,2,小林徹弥,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
9,2:06.5,36.6,14,,319.6,,牡2,55,3,2,10,[西]高橋康之,,,13-13-14-14,佐々木孝之,462(0),アローシャトル,5,川須栄彦,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
10,2:06.6,37.0,15,,345.3,,牝2,51,6,1/2,11,[西]田所秀孝,,,11-12-12-12,深見富朗,482(-8),ティーリアル,10,三津谷隼,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
11,2:06.8,37.2,10,,85.6,,牝2,54,4,3/4,12,[西]奥村豊,,,15-15-12-12,サイプレスホールディングス,442(+2),ゴスペル,7,松田大作,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
12,2:06.8,37.8,8,,51.5,,牡2,55,6,クビ,13,[東]池上昌弘,,,4-5-5-10,サラブレッドクラブ・ラフィアン,474(-6),マイネルピョートル,11,和田竜二,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
13,2:07.5,38.1,13,,174.9,,牝2,54,3,4,14,[西]湯窪幸雄,,,10-10-10-10,松本好雄,452(-6),メイショウコモレビ,4,藤岡康太,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
14,2:14.3,43.8,12,,166.8,,牡2,55,4,大,15,[西]湯窪幸雄,,,14-14-15-15,吉川潤,460(+2),ジューンアンカー,6,高田潤,**,11,阪神,2歳未勝利,4R,芝右2000m ,晴 ,良 ,2016-12-25
0,1:58.3,35.9,2,,4.5,,牡4,55,1,,1,[西]音無秀孝,,"4,157.4",3-3-3-3,社台レースホース,440(-2),スティッフェリオ,2,丸山元気,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
1,1:58.5,36.5,3,,4.7,,牡4,55,3,1.1/4,2,[西]昆貢,,"1,616.4",2-2-2-2,寺田千代乃,460(+6),マイスタイル,6,田中勝春,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
2,1:58.5,35.9,1,,3.6,,牡7,57,1,クビ,3,[西]吉村圭司,,"1,008.2",5-4-5-4,ラッキーフィールド,496(0),エアアンセム,1,田辺裕信,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
3,1:59.1,35.5,7,,18.6,,牡5,56,4,3.1/2,4,[西]池添兼雄,,620.0,11-11-9-8,市川義美ホールディングス,456(+4),ナイトオブナイツ,7,松山弘平,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
4,1:59.1,35.2,13,,50.3,,牡7,56,5,クビ,5,[東]和田正一,,410.0,12-12-12-12,サンデーレーシング,480(-16),ルミナスウォリアー,10,柴山雄一,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
5,1:59.2,36.7,11,,45.9,,牝6,55,5,クビ,6,[西]中竹和也,,,4-4-4-4,島川隆哉,470(0),トーセンビクトリー,9,三浦皇成,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
6,1:59.3,37.6,4,,8.4,,牡6,57.5,6,1/2,7,[東]堀井雅広,,,1-1-1-1,藤田在子,528(0),マルターズアポジー,12,戸崎圭太,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
7,1:59.3,35.8,9,,21.7,,牡5,57,6,アタマ,8,[東]栗田博憲,,,7-8-8-8,サラブレッドクラブ・ラフィアン,476(+4),マイネルハニー,11,丹内祐次,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
8,1:59.4,35.5,12,,48.6,,牡7,56,8,1/2,9,[東]高木登,,,14-14-12-12,サラブレッドクラブ・ラフィアン,492(+2),マイネルフロスト,15,松岡正海,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
9,1:59.4,35.7,15,,158.7,,牡8,56,4,クビ,10,[東]相沢郁,,,9-9-10-10,サラブレッドクラブ・ラフィアン,484(-6),マイネルミラノ,8,木幡巧也,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
10,1:59.5,36.7,5,,11.0,,牡6,55,3,1/2,11,[西]中竹和也,,,6-6-6-6,金子真人ホールディングス,478(-8),レトロロック,5,吉田隼人,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
11,1:59.8,36.1,10,,25.0,,牡7,56,7,1.3/4,12,[西]橋田満,,,12-12-10-10,吉田勝己,490(-8),メドウラーク,14,丸田恭介,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
12,2:00.0,36.7,16,,234.9,,牡7,56,2,1.1/2,13,[東]根本康広,,,7-7-7-7,荻原昭二,476(0),ツクバアズマオー,4,柴田善臣,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
13,2:00.1,35.8,6,,18.2,,牡6,55,8,1/2,14,[西]今野貞一,,,15-15-15-14,中村政夫,456(0),マサハヤドリーム,16,勝浦正樹,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
14,2:00.1,35.0,8,,19.9,,牝5,54,2,クビ,15,[西]中村均,,,15-16-16-16,礒野日出夫,512(+4),キンショーユキヒメ,3,鮫島克駿,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
15,2:00.2,36.3,14,,59.8,,牡8,54,7,クビ,16,[東]竹内正洋,,,9-9-12-15,冨樫賢二,508(+8),トミケンスラーヴァ,13,藤田菜七,**,15,福島,第54回福島記念(G3),11R,芝右2000m ,晴 ,良 ,2018-11-11
0,2:00.0,33.9,8,,31.8,,牝6,54,4,,1,[東]古賀慎明,,"3,649.7",4-4-4-4,サンデーレーシング,496(+10),ワンブレスアウェイ,5,津村明秀,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
1,2:00.1,33.5,1,,3.0,,牝4,55,7,1/2,2,[東]萩原清,,"1,414.2",9-10-10-10,池谷誠一,468(+2),ノームコア,11,ルメール,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
2,2:00.1,34.4,4,,7.7,,牝4,53,5,クビ,3,[西]角居勝彦,,907.1,1-1-1-1,小林英一ホールディングス,512(+6),ランドネ,8,戸崎圭太,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
3,2:00.2,33.9,3,,5.9,,牝4,53,6,1/2,4,[東]斎藤誠,,540.0,5-6-5-6,Ｇ１レーシング,500(0),ウラヌスチャーム,9,北村友一,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
4,2:00.2,33.8,6,,11.4,,牝6,54,3,アタマ,5,[東]木村哲也,,360.0,9-8-7-7,キャロットファーム,464(+6),コルコバード,4,丸山元気,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
5,2:00.3,34.1,2,,3.6,,牝5,55,1,クビ,6,[東]小島茂之,,,6-5-5-4,東京ホースレーシング,500(+8),レッドジェノヴァ,1,Ｍ．デム,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
6,2:00.5,33.9,7,,19.8,,牝6,52,2,1.1/4,7,[西]橋田満,,,11-11-10-10,永井啓弍,428(+4),レイホーロマンス,2,藤岡康太,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
7,2:00.7,33.9,5,,10.1,,牝5,50,4,1.1/4,8,[西]吉村圭司,,,12-11-12-12,サンデーレーシング,460(+2),レイズアベール,6,秋山真一,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
8,2:00.7,33.8,10,,41.8,,牝4,49,8,クビ,9,[西]鈴木孝志,,,12-11-12-12,岡浩二,452(+8),ウスベニノキミ,13,松若風馬,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
9,2:00.9,34.4,9,,40.6,,牝4,51,5,1,10,[西]高橋亮,,,6-6-7-7,前田幸治,458(+12),スカーレットカラー,7,鮫島克駿,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
10,2:01.1,35.2,13,,216.6,,牝7,50,3,1,11,[西]武幸四郎,,,3-3-3-2,田畑利彦,468(-2),ティーエスクライ,3,木幡育也,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
11,2:01.2,34.7,11,,54.6,,牝6,55,7,1/2,12,[西]本田優,,,6-8-7-7,吉岡實,468(+4),エテルナミノル,12,四位洋文,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
12,2:01.3,35.5,14,,229.6,,牝8,50,6,3/4,13,[西]松下武士,,,2-2-2-2,土井肇,520(+6),ヤマニンエルフィン,10,田中健,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
13,2:01.7,34.5,12,,93.4,,牝6,54,8,2.1/2,14,[西]中村均,,,14-14-14-14,礒野日出夫,530(+18),キンショーユキヒメ,14,吉田隼人,**,15,中京,第56回愛知杯(G3),11R,芝左2000m ,晴 ,良 ,2019-01-26
0,2:28.3,33.5,1,,1.6,,牡3,54,5,,1,[西]友道康夫,,750.0,5-5-5-5,佐々木主浩,468(0),シュヴァルグラン,10,福永祐一,**,13,阪神,3歳以上500万下,7R,芝右外2400m ,晴 ,稍重 ,2015-10-03
1,2:28.6,33.9,3,,11.1,,牝3,52,6,2,2,[西]松田国英,,300.0,8-8-7-5,野田みづき,492(-2),ミッキーポーチ,12,Ｍ．デム,**,13,阪神,3歳以上500万下,7R,芝右外2400m ,晴 ,稍重 ,2015-10-03
2,2:28.9,33.5,2,,5.1,,牡3,54,3,2,3,[西]吉村圭司,,190.0,14-13-13-13,Ｈ．Ｈ．シェイク・モハメド,474(-4),チャパラ,5,太宰啓介,**,13,阪神,3歳以上500万下,7R,芝右外2400m ,晴 ,稍重 ,2015-10-03
3,2:29.0,34.4,11,,68.0,,牝4,55,1,クビ,4,[西]松田博資,,110.0,2-3-3-3,近藤利一,456(-2),アドマイヤウイング,1,川田将雅,**,13,阪神,3歳以上500万下,7R,芝右外2400m ,晴 ,稍重 ,2015-10-03
4,2:29.1,33.7,14,,89.1,,牡7,54,2,3/4,5,[西]西橋豊治,,75.0,10-10-10-13,田邉康子,476(0),ダブルイーグル,4,鮫島克駿,**,13,阪神,3歳以上500万下,7R,芝右外2400m ,晴 ,稍重 ,2015-10-03
5,2:29.1,34.5,6,,22.3,,牡3,54,8,クビ,6,[西]小崎憲,,,4-4-3-3,キーファーズ,478(0),ミコラソン,15,武豊,**,13,阪神,3歳以上500万下,7R,芝右外2400m ,晴 ,稍重 ,2015-10-03
6,2:29.2,34.5,5,,18.1,,牡3,54,6,3/4,7,[西]藤岡健一,,,6-6-5-5,青山洋一,444(+10),アンバーグリスキー,11,ルメール,**,13,阪神,3歳以上500万下,7R,芝右外2400m ,晴 ,稍重 ,2015-10-03
7,2:29.2,34.9,7,,25.8,,牡4,57,1,アタマ,8,[西]中村均,,,1-1-1-1,ウイン,448(0),ウインレーベン,2,松山弘平,**,13,阪神,3歳以上500万下,7R,芝右外2400m ,晴 ,稍重 ,2015-10-03
